developer_id,name,inn,ogrn
7364,СЗ-1 ЮСИ-ДОН,6163148597,1166196086891
154,БРУСНИКА,6671382990,1116671018958
15042,СЗ СЭТЛ ЭСТЕЙТ,7810733993,1187847194490
18490,СЗ ГРАДСТРОЙПРОЕКТ,2311311443,1202300058586
10445,СЗ А101,7751172550,1197746656095
19464,СЗ КАП,2312312810,1222300046319
17384,СЗ ЖИВЫЕ КВАРТАЛЫ,2312314158,1222300055790
24450,СЗ КРАСНОДАРСКИЙ ДЕВЕЛОПЕР 1,2308290151,1232300011184
19589,СЗ КСАР,2308183431,1112308009550
22850,СЗ СТОЛИЦЫНО,2366024462,1202300068761
20019,СЗ МАГНУМ-СТАВРОПОЛЬЕ,6102077797,1236100007483
24976,СЗ СТРОЙДОМКРАСНОДАР,2328006046,1122328000112
17148,СЗ РОСТОВСТРОЙ-ДОН,6164138746,1226100020970
239,ЛСР. НЕДВИЖИМОСТЬ-СЗ,7826090547,1027810227884
16007,КВАРТАЛ РЕСПУБЛИКИ 205. ТЮМЕНЬ,7203523143,1217200011621
14011,СЗ ЭТАЛОН-ЕКАТЕРИНБУРГ,7814799956,1217800171137
14082,СЗ ДОГМА-ПАРК 21,2311322580,1212300046771
27103,СЗ СТРОЙПАРК,2311250215,1172375102305
6316,СЗ ЕЛЬЦОВСКИЙ,5402577164,1145476072378
17877,СЗ НИГО-ХОЛДИНГ,8903020348,1028900577760
14174,ФОНД РЕНОВАЦИИ,7703434808,1177700018319
13738,СЗ ПАРК ПОБЕДЫ-2,2311318262,1212300023154
866,СЗ-20 ЮСИ,2635224470,1162651079381
2260,СЗ РСГ-АКАДЕМИЧЕСКОЕ,6658328507,1086658031052
215,СЗ ТИРОН,7709490911,1167746411799
16594,СЗ ПРОЕКТ-СТРАНА-18,4706057359,1234700004692
13681,СЗ СЭТЛ СТАНДАРТ,7810787580,1207800014487
12691,СЗ 1,1655458001,1211600037835
9364,СЗ ТПУ ЛЕСОПАРКОВАЯ,7701387380,1147746148263
17343,СЗ ПРОЕКТ-СТРАНА-4,2543167422,1222500017893
9034,СЗ КАПИТАЛЪ,2312253040,1162375047262
18542,СЗ СК АВАНГАРД,2308210276,1142308006774
16666,СЗ ССК НОВОРОССИЙСК,2315213302,1192375058083
12959,СЗ СЕМЬЯ-ТЁПЛЫЕ КРАЯ,2309110436,1082309001433
868,СЗ ЮГСТРОЙИМПЕРИАЛ,2309137163,1132309005289
24067,СЗ МЕГА СТРОЙ,3666267267,1233600011039
11543,СБЕРСИТИ,5024093941,1085024000698
15938,СЗ САМОЛЕТ СЕВЕРО-ЗАПАД,7813632175,1197847055691
728,СЗ РАЗВИТИЕ И ПАРТНЕРЫ,3662234359,1163668097229
1205,ЖИЛСТРОЙИНДУСТРИЯ,3525108923,1033500040530
14655,СЗ КП №5,6163222120,1216100005550
17078,СЗ СЕТУНЬ АЛГ,7730504250,1047796133330
18944,СЗ СТРОЙКАПИТАЛ,9731123420,1237700737295
13820,СЗ ТПУ ТЕРЕХОВО 9,9709057162,1197746703032
16400,СЗ САМОЛЕТ-НОВОСАРАТОВКА,4706047569,1224700005573
12944,СЗ НОРД СИТИ,7810781281,1197847230932
17741,СЗ НОВЫЕ ТЕХНОЛОГИИ,2366034887,1222300017213
30226,СЗ-ЭВЕРЕСТ,9403030036,1249400003753
14557,СЗ ГРАНДСОЮЗИНВЕСТ,7704802677,1127746164204
1304,СЗ ГРАДОЛИМП,7703788074,1137746339720
30594,СЗ СТРАНА СИТИ,9704228030,1237700810269
18880,СЗ ЭПОХА,9729332579,1227700701392
12545,СЗСЕМЬЯ-НОВОРОССИЙСК-2,2315215130,1202300001441
12234,СЗ КОНЦЕПТ ИММО ДЕВЕЛОПМЕНТ,7703529947,1047796752926
13827,СЗ АПД,9705087889,1177746118329
2438,СЗ РАЗВИТИЕ,5032085920,1035006456650
1119,СЗ НОВЫЙ ГОРОД,2464057265,1042402522150
15702,СЗ ТЕРРИТОРИЯ КОМФОРТА,7708333271,1187746672222
19270,СЗ ГУД-СИТИ,7714429768,1187746707191
23923,СЗ АНАПА СИТИ,2312319928,1232300037012
1339,СЗ ПАРУС,5836654615,1125836006570
16912,СЗ ГАЛАКТИКА 4,6162088200,1227700776797
16474,СЗ ТРИУМФ КАПИТАЛ,7751185848,1207700349460
11410,СЗ ЗИЛ-ЮГ,7725852742,1147748024170
3175,СЗ РАЗВИТИЕ СЕВЕР,3662218533,1153668063900
15962,СЗ НДК - МОРЕ,9103012773,1149102106779
30107,СЗ Т2-ДЕВЕЛОПМЕНТ,9715447749,1237700277781
14734,СЗ ДОГМА-ВОСТОК,2311317082,1212300015586
21876,СЗ ГОРНЫЕ ВЫСОТЫ,100006743,1230100003033
11055,СЗ БАДАЕВСКИЙ,7730014425,1027700287537
9058,СЗ МСК ЛЮБЛИНСКАЯ,7743292998,1197746141471
20111,ЛЕГЕНДА ЗАЛИВА,9717106913,1217700495352
7354,СЗ ДСК-1,8602058789,1028600601006
15192,СЗ ТАЛАН-РЕГИОН-24,1841079988,1181832015606
6560,"СЗ УФИМСКОЕ ГОРОДСКОЕ АИК, АО СЗ УГАИК",276056635,1020202860721
16452,СЗ МЕГАСТРОЙ,9729307396,1217700179487
1538,СЗ ОТРАДА ДЕВЕЛОПМЕНТ,5024091623,1075024008938
14220,СЗ КОЛИБРИ,2367014107,1202300026598
13298,СЗ АКВАМАРИН,5402063793,1205400055552
19070,СЗ АНАПАСТРОЙПРОЕКТ,2312311083,1222300033757
14527,СЗ ТРЕНД-ГРУПП,7717701806,1117746478200
3445,СЗ ПЕРВЫЙ МОСКОВСКИЙ,7751036892,1177746136370
15801,СЗ ГОЛДФИШ,7709733836,5077746477760
20852,СЗ СТРАНА Е ПРУДЫ,9703136266,1237700153382
16335,СЗ ССК КАЛИНИНГРАД,3906412009,1223900003590
13544,СЗ ОСТРОВ СИТИ,7810781309,1197847230998
18629,СЗ Д-ФИНАНС,2311343639,1232300000899
12943,СЗ СТРАНА ЗАПАД,7203518337,1217200005681
17025,СЗ МАРЬИНО,9724098029,1227700565938
19315,СЗ ИНВЕСТ-ПРОГРЕСС,1655376599,1161690178374
12220,СЗ ЛСР,7838082999,1187847328294
17945,СЗ ИЗУМРУДСТРОЙ-1,2311257958,1182375034874
18546,СЗ ЛИГАСТРОЙ,7805779047,1217800070938
21020,СЗ ССК-СПБ,9705171435,1227700320572
16902,СЗ ГОРИЗОНТ,6500011435,1236500004069
28410,СЗ АТМОСФЕРА,274394981,1250200015251
497,СЗ ПРИГОРОД ЛЕСНОЕ,7725790373,1137746376910
273,СЗ БЭСТ-СТРОЙ УНИСТРОЙ,6659158985,1076659014860
18385,СЗ МКС,300018859,1230300008410
7719,СЗ БАСТИОН,7728458737,1197746056705
13649,СЗ ЭТАЛОН-ОМСК,5501271610,1215500012452
19165,СЗ ВЕРЕЙСКАЯ,9703146842,1237700387176
2482,СЗ ИНТЕР-ТЕП,2926010105,1022900529398
4044,СК  НОВЫЙ ВЕК,6449033429,1026401975940
14624,СЗ УНИВЕРСАЛСТРОЙ,5024201668,1195081094152
20958,СЗ БЕРЕГ,5262127571,1045207806731
13073,СЗ ПФК,7702815127,1137746417830
40295,СЗ АЛМАЗСТРОЙ,2312319131,1232300030600
172,СЗ-3 ЮСИ КУБАНЬ,2311152539,1122311014495
18989,СЗ СТРАНА.КОММУНИСТИЧЕСКАЯ,7203552112,1237200003457
13781,"СПЕЦСТРОЙ ЯБЛОЧКОВА, 26",5903149459,1215900009093
12177,СЗ КОНВЕРСИЯ,6163103892,1106193004675
1927,СЗ ЛСР.ОБЪЕКТ-М,7725549175,1057748299113
13570,СЗ СЭТЛ РАЗВИТИЕ,7814783057,1207800155342
11964,ГРК ЭНКО,7203437864,1177232036420
13733,"СЗ КУТУЗОВСКИЙ, 16 (ООО)",7715865510,1117746359235
37439,СЗ ИНВЕСТДЕВЕЛОПМЕНТ-1,2312327943,1242300032831
17006,СЗ МОЙ РИТМ,1624000349,1021607361049
14233,СЗ НАЧАЛО,9729315076,1217700516230
17027,КВАРТАЛ МЕТРОНОМ,7734443778,1217700280654
10954,СЗ СНС,5041204154,1165012050994
14642,СЗ ЧАСОВАЯ,9709044935,1197746127215
15942,СЗ НМ-КОНСАЛТ,9721090818,1197746701877
16750,CЗ ФЕМИЛИ РЕЗОРТ НЕБУГ,2308288843,1222300064931
17063,СЗ САМОЛЕТ-ТАЛЛИНСКОЕ,5027297904,1215000072110
14833,СЗ ИНСИТИ К-8,2311312359,1202300062821
21273,"ЭЛЕМЕНТ 5,6",7813682056,1247800079823
3751,СЗ САМОЛЕТ-ПУТИЛКОВО,5027243320,1165027057458
17244,СЗ ПРОСТОРЫ КРЫМА,9108127672,1229100012393
12842,СЗ ЦЕНТРПОЛИС,7743345103,1207700284296
17623,СЗГРАЖДАНСТРОЙАНАПА,2312320105,1232300038079
8954,ГС-САВВИНО - СПЕЦЗАСТРОЙЩИК,5012080176,1135012005721
29873,СЗ ЖИЛСТРОЙИНВЕСТ 1,9403031209,1249400007130
6280,СЗ ЛЕГИС,7730618956,1097746775620
15926,СЗ САМОЛЕТ-САБАНЕЕВА,2543164340,1222500006354
14513,СЗ СТРОЙДОМ-ИНВЕСТ,3666253627,1203600039543
13237,СЗ ЗЕЛЕНОГРАДСКИЙ,7735092843,1027739388511
933,СПЕЦЗАСТРОЙЩИК КСМ,4345077227,1044316516606
16044,СЗ ГЛОБАЛПЛЮС,1685010048,1231600010652
515,СЗ БУХТА ЛЭНД,7731477627,1147746948250
7,СЗ ГОРОДОК,7203312417,1147232033310
4568,СЗ ШЕРЕМЕТЬЕВО-4,5015008347,1075015000279
16245,СЗ САМОЛЕТ-СТРОГИНО ПАРК,5032037644,1025004069276
18981,СЗ МЕГАПОЛИС ТУЛА,1300010040,1241300000754
9045,БЕРЕГОВОЙ - СПЕЦЗАСТРОЙЩИК,7730014070,1037739783124
596,СЗ ЛСР. НЕДВИЖИМОСТЬ-УРАЛ,6672142550,1026605389667
15746,СЗ СК ТЕХЮГСТРОЙ,2311340860,1222300057760
27915,СЗ ГРУППА КОМПАНИЙ ПРАВОВОЙ СТАНДАРТ,2312165185,1092312007336
19017,СЗ СТРАНА.ЯРОСЛАВСКАЯ,7203552105,1237200003446
14846,СЗ ТПУ РОСТОКИНО,7702441440,1187746836980
13473,СЗ ЛИГОВСКИЙ СИТИ,7806543527,1187847148785
15681,СЗ СПБ РЕНОВАЦИЯ - СЛАВЯНКА-6,7840102025,1227800124991
13090,СЗ ИСБ-НЕДВИЖИМОСТЬ,9705130661,1197746232804
22241,СЗ СПИКА,5260494939,1245200012199
2071,СЗ СТАДИОН СПАРТАК,7709574093,1047796801920
16102,СЗ ОЛИМП-КАМЧАТКА,4101187313,1194101000906
1006,СЗ АКВА СИТИ,5407480952,1125476185889
10627,СЗ ЭНЕРГОСТРОЙ,5410077581,1185476100039
15876,СЗ ОРЕНБУРГСТРОЙ,5610247921,1235600000580
18656,СЗ УРАЛЬСКАЯ 87,2312298844,1212300009536
17178,ООО СЗ ЩИБРОВО,9701058929,5167746459106
